protein1,protein2,combined_score
9606.ENSP00000225831,9606.ENSP00000264498,732
9606.ENSP00000225831,9606.ENSP00000355361,482
9606.ENSP00000225831,9606.ENSP00000495360,571
9606.ENSP00000225831,9606.ENSP00000223095,918
9606.ENSP00000225831,9606.ENSP00000404131,577
9606.ENSP00000225831,9606.ENSP00000308208,471
9606.ENSP00000225831,9606.ENSP00000362179,737
9606.ENSP00000225831,9606.ENSP00000370812,485
9606.ENSP00000225831,9606.ENSP00000498587,418
9606.ENSP00000225831,9606.ENSP00000312506,427
9606.ENSP00000225831,9606.ENSP00000293825,521
9606.ENSP00000225831,9606.ENSP00000371790,611
9606.ENSP00000225831,9606.ENSP00000362057,462
9606.ENSP00000225831,9606.ENSP00000346508,404
9606.ENSP00000225831,9606.ENSP00000336762,622
9606.ENSP00000225831,9606.ENSP00000314897,578
9606.ENSP00000225831,9606.ENSP00000265371,439
9606.ENSP00000225831,9606.ENSP00000263734,414
9606.ENSP00000225831,9606.ENSP00000357392,473
9606.ENSP00000225831,9606.ENSP00000379350,459
9606.ENSP00000225831,9606.ENSP00000480043,529
9606.ENSP00000225831,9606.ENSP00000362299,540
9606.ENSP00000225831,9606.ENSP00000330382,528
9606.ENSP00000225831,9606.ENSP00000275493,725
9606.ENSP00000225831,9606.ENSP00000216037,422
9606.ENSP00000225831,9606.ENSP00000282397,791
9606.ENSP00000225831,9606.ENSP00000306512,999
9606.ENSP00000225831,9606.ENSP00000354558,511
9606.ENSP00000225831,9606.ENSP00000352798,418
9606.ENSP00000225831,9606.ENSP00000265171,696
9606.ENSP00000225831,9606.ENSP00000297904,446
9606.ENSP00000225831,9606.ENSP00000362680,733
9606.ENSP00000225831,9606.ENSP00000360266,980
9606.ENSP00000225831,9606.ENSP00000263923,758
9606.ENSP00000225831,9606.ENSP00000228837,610
9606.ENSP00000225831,9606.ENSP00000274625,610
9606.ENSP00000225831,9606.ENSP00000369375,713
9606.ENSP00000225831,9606.ENSP00000272928,417
9606.ENSP00000225831,9606.ENSP00000437955,692
9606.ENSP00000225831,9606.ENSP00000346839,723
9606.ENSP00000225831,9606.ENSP00000356954,678
9606.ENSP00000225831,9606.ENSP00000351273,669
9606.ENSP00000225831,9606.ENSP00000495951,533
