adr_id,compound_id,source
C0085612,CHEMBL535,SIDER
C0085614,CHEMBL535,SIDER
C0085624,CHEMBL535,SIDER
C0085633,CHEMBL535,SIDER
C0233472,CHEMBL535,SIDER
C0151517,CHEMBL535,SIDER
C0151636,CHEMBL535,SIDER
C0151699,CHEMBL535,SIDER
C0151735,CHEMBL535,SIDER
C0151740,CHEMBL535,SIDER
C0151744,CHEMBL535,SIDER
C0162297,CHEMBL535,SIDER
C0220870,CHEMBL535,SIDER
C0232124,CHEMBL535,SIDER
C0340464,CHEMBL535,SIDER
C0232487,CHEMBL535,SIDER
C0233485,CHEMBL535,SIDER
C0003467,CHEMBL535,SIDER
C0234215,CHEMBL535,SIDER
C0235004,CHEMBL535,SIDER
C0235169,CHEMBL535,SIDER
C0085631,CHEMBL535,SIDER
C0235706,CHEMBL535,SIDER
C0948594,CHEMBL535,SIDER
C0235710,CHEMBL535,SIDER
C0236071,CHEMBL535,SIDER
C0240327,CHEMBL535,SIDER
C0013378,CHEMBL535,SIDER
C0264906,CHEMBL535,SIDER
C0344232,CHEMBL535,SIDER
C0428977,CHEMBL535,SIDER
C0438716,CHEMBL535,SIDER
C0494475,CHEMBL535,SIDER
C0014549,CHEMBL535,SIDER
C0497247,CHEMBL535,SIDER
C0520886,CHEMBL535,SIDER
C0520887,CHEMBL535,SIDER
C0541782,CHEMBL535,SIDER
C0750194,CHEMBL535,SIDER
C0854303,CHEMBL535,SIDER
C0857153,CHEMBL535,SIDER
C0858924,CHEMBL535,SIDER
C0948296,CHEMBL535,SIDER
C1096250,CHEMBL535,SIDER
C1145670,CHEMBL535,SIDER
C1956346,CHEMBL535,SIDER
C2242996,CHEMBL535,SIDER
C0000833,CHEMBL535,SIDER
C0001122,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0007682,CHEMBL535,SIDER
C0027765,CHEMBL535,SIDER
C0009421,CHEMBL535,SIDER
C0009676,CHEMBL535,SIDER
C1443060,CHEMBL535,SIDER
C0011175,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0013604,CHEMBL535,SIDER
C0015376,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0018681,CHEMBL535,SIDER
C0018802,CHEMBL535,SIDER
C0019054,CHEMBL535,SIDER
